row,col,rep,N,G,yield
2,6,rep1,Goomba,Simba,4520
3,4,rep1,Koopa,Simba,5598
2,3,rep1,Toad,Simba,6192
1,1,rep1,Peach,Simba,8542
2,1,rep1,Diddy,Simba,5806
3,1,rep1,Yoshi,Simba,7470
4,5,rep1,Goomba,Nala,4034
4,1,rep1,Koopa,Nala,6682
3,2,rep1,Toad,Nala,6869
1,2,rep1,Peach,Nala,6318
4,3,rep1,Diddy,Nala,5738
2,2,rep1,Yoshi,Nala,7862
1,4,rep1,Goomba,Timon,3554
1,5,rep1,Koopa,Timon,4948
2,5,rep1,Toad,Timon,5522
3,5,rep1,Peach,Timon,5684
1,3,rep1,Diddy,Timon,5974
4,4,rep1,Yoshi,Timon,7260
4,2,rep1,Goomba,Pumba,4216
3,3,rep1,Koopa,Pumba,5372
4,6,rep1,Toad,Pumba,2504
1,6,rep1,Peach,Pumba,2338
3,6,rep1,Diddy,Pumba,4276
2,4,rep1,Yoshi,Pumba,1594
3,11,rep2,Diddy,Simba,6600
3,9,rep2,Koopa,Simba,5256
2,10,rep2,Yoshi,Simba,7578
3,10,rep2,Goomba,Simba,4208
1,10,rep2,Peach,Simba,9012
2,8,rep2,Toad,Simba,7146
4,10,rep2,Diddy,Nala,6307
3,12,rep2,Koopa,Nala,5948
4,8,rep2,Yoshi,Nala,6324
4,7,rep2,Goomba,Nala,5044
3,7,rep2,Peach,Nala,7567
1,8,rep2,Toad,Nala,7072
2,12,rep2,Diddy,Timon,5904
3,8,rep2,Koopa,Timon,6094
1,7,rep2,Yoshi,Timon,6392
1,9,rep2,Goomba,Timon,2674
2,9,rep2,Peach,Timon,7302
2,7,rep2,Toad,Timon,5970
4,12,rep2,Diddy,Pumba,5924
1,12,rep2,Koopa,Pumba,4694
1,11,rep2,Yoshi,Pumba,1690
4,11,rep2,Goomba,Pumba,4212
4,9,rep2,Peach,Pumba,1560
2,11,rep2,Toad,Pumba,5126
3,14,rep3,Toad,Simba,6860
3,18,rep3,Peach,Simba,8548
2,16,rep3,Diddy,Simba,6794
2,13,rep3,Goomba,Simba,4030
4,16,rep3,Koopa,Simba,6162
1,16,rep3,Yoshi,Simba,7642
1,15,rep3,Toad,Nala,6744
2,17,rep3,Peach,Nala,5736
3,16,rep3,Diddy,Nala,6732
4,14,rep3,Goomba,Nala,3840
4,17,rep3,Koopa,Nala,5316
3,17,rep3,Yoshi,Nala,6666
2,14,rep3,Toad,Timon,6550
2,15,rep3,Peach,Timon,5210
1,17,rep3,Diddy,Timon,6104
1,18,rep3,Goomba,Timon,3304
4,13,rep3,Koopa,Timon,5286
4,18,rep3,Yoshi,Timon,6410
3,15,rep3,Toad,Pumba,3818
3,13,rep3,Peach,Pumba,1744
4,15,rep3,Diddy,Pumba,4236
1,13,rep3,Goomba,Pumba,5016
2,18,rep3,Koopa,Pumba,4382
1,14,rep3,Yoshi,Pumba,2856
